track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
Free Fallin',Tom Petty,False,,,,,,,,,,,,,
Lunar,David Guetta,False,,,,,,,,,,,,,
Recess,Skrillex,False,,,,,,,,,,,,,
Safe And Sound,Capital Cities,False,,,,,,,,,,,,,
The Question Is What Is the Question?,Scooter,False,,,,,,,,,,,,,
Mystery Land,Y-Traxx,False,,,,,,,,,,,,,
What I Got,Sublime,False,,,,,,,,,,,,,
That's What You Get,Paramore,False,,,,,,,,,,,,,
Higher,Creed,False,,,,,,,,,,,,,
Run Boy Run,Woodkid,False,,,,,,,,,,,,,
Devil's Spoke,Laura Marling,False,,,,,,,,,,,,,
Heads Will Roll,Yeah Yeah Yeahs,False,,,,,,,,,,,,,
One Last Breath,Creed,False,,,,,,,,,,,,,
Give Me One Reason,Tracy Chapman,False,,,,,,,,,,,,,
505,Arctic Monkeys,False,,,,,,,,,,,,,
Time Is On My Side,The Rolling Stones,False,,,,,,,,,,,,,
Nina,Ed Sheeran,False,,,,,,,,,,,,,
For A Better Day,Avicii,False,,,,,,,,,,,,,
Got to Be Real,Cheryl Lynn,False,,,,,,,,,,,,,
The Second Time Around,Shalamar,False,,,,,,,,,,,,,
Vamos a la Playa,Righeira,False,,,,,,,,,,,,,
I Got You (I Feel Good),James Brown,False,,,,,,,,,,,,,
Theme From Shaft,Isaac Hayes,False,,,,,,,,,,,,,
Rappers Delight,The Sugarhill Gang,False,,,,,,,,,,,,,
Welcome To The Club,Manian,False,,,,,,,,,,,,,
Ordinary Girl,Hannah Montana,False,,,,,,,,,,,,,
Show Me A Sign,Modestep,False,,,,,,,,,,,,,
The City,Madeon,False,,,,,,,,,,,,,
Centipede,Knife Party,False,,,,,,,,,,,,,
Retrograde,James Blake,False,,,,,,,,,,,,,
Way Away,Yellowcard,False,,,,,,,,,,,,,
Young Volcanoes,Fall Out Boy,False,,,,,,,,,,,,,
Hit Or Miss,New Found Glory,False,,,,,,,,,,,,,
I'd Do Anything,Simple Plan,False,,,,,,,,,,,,,
The Wolves,Ben Howard,False,,,,,,,,,,,,,
Volcano Girls,Veruca Salt,False,,,,,,,,,,,,,
Sex Type Thing,Stone Temple Pilots,False,,,,,,,,,,,,,
Machinehead,Bush,False,,,,,,,,,,,,,
Ms. Fat Booty,Mos Def,False,,,,,,,,,,,,,
Sacrifices,Drake,False,,,,,,,,,,,,,
Oh My God,A Tribe Called Quest,False,,,,,,,,,,,,,
Stir Fry,Migos,False,,,,,,,,,,,,,
STOP TRYING TO BE GOD,Travis Scott,False,,,,,,,,,,,,,
Santa Baby,Eartha Kitt,False,,,,,,,,,,,,,
Found What I've Been Looking For,Tom Grennan,False,,,,,,,,,,,,,
Don't Delete The Kisses,Wolf Alice,False,,,,,,,,,,,,,
(No One Knows Me) Like the Piano,Sampha,False,,,,,,,,,,,,,
You Got Me,STi,False,,,,,,,,,,,,,
C is for Cookie,Cookie Monster,False,,,,,,,,,,,,,
To Where You Are,Josh Groban,False,,,,,,,,,,,,,
Yes Indeed,Lil Baby,False,,,,,,,,,,,,,
A Lie,French Montana,False,,,,,,,,,,,,,
Shining (feat. Beyoncé & Jay-Z),DJ Khaled,False,,,,,,,,,,,,,
Go Flex,Post Malone,False,,,,,,,,,,,,,
Tenerife Sea,Ed Sheeran,False,,,,,,,,,,,,,
Raging (feat. Kodaline),Kygo,False,,,,,,,,,,,,,
Rollin (feat. Future & Khalid),Calvin Harris,False,,,,,,,,,,,,,
Remember I Told You,Nick Jonas,False,,,,,,,,,,,,,
Mariners Apartment Complex,Lana Del Rey,False,,,,,,,,,,,,,
Please Don't Go,Joel Adams,False,,,,,,,,,,,,,
Natural,Imagine Dragons,False,,,,,,,,,,,,,
Bang Bang,Green Day,False,,,,,,,,,,,,,
Dragula,Rob Zombie,False,,,,,,,,,,,,,
Pardon Me,Incubus,False,,,,,,,,,,,,,
Free Fallin',Tom Petty,False,,,,,,,,,,,,,
The Sky Is A Neighborhood,Foo Fighters,False,,,,,,,,,,,,,
Land of Confusion,Disturbed,False,,,,,,,,,,,,,
He's Back (The Man Behind The Mask),Alice Cooper,False,,,,,,,,,,,,,
Coming Undone,Korn,False,,,,,,,,,,,,,
Outshined,Soundgarden,False,,,,,,,,,,,,,
White Rabbit,Jefferson Airplane,False,,,,,,,,,,,,,
Us,Regina Spektor,False,,,,,,,,,,,,,
Here and Now,Luther Vandross,False,,,,,,,,,,,,,
Daylight,Maroon 5,False,,,,,,,,,,,,,
Bet On It,Troy,False,,,,,,,,,,,,,
Love You I Do,Jennifer Hudson,False,,,,,,,,,,,,,
Start of Something New,Troy,False,,,,,,,,,,,,,
Golden,Jill Scott,False,,,,,,,,,,,,,
Son Of A Preacher Man,Dusty Springfield,False,,,,,,,,,,,,,
Love's Divine,Seal,False,,,,,,,,,,,,,
Lights,Ellie Goulding,False,,,,,,,,,,,,,
A-Punk,Vampire Weekend,False,,,,,,,,,,,,,
Get Free,Major Lazer,False,,,,,,,,,,,,,
Bla Bla Bla,Gigi D'Agostino,False,,,,,,,,,,,,,
The Great Escape,Boys Like Girls,False,,,,,,,,,,,,,
Thunder Clatter,Wild Cub,False,,,,,,,,,,,,,
Arabella,Arctic Monkeys,False,,,,,,,,,,,,,
Secrets,OneRepublic,False,,,,,,,,,,,,,
Vasoline,Stone Temple Pilots,False,,,,,,,,,,,,,
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,False,,,,,,,,,,,,,
Smokestack Lightnin',Howlin' Wolf,False,,,,,,,,,,,,,
