track_id,speechiness,duration_ms,tempo,energy,acousticness,valence,key,instrumentalness,liveness,loudness,danceability,time_signature,mode,track,charted,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
1UBQ5GK8JaQjm5VbkBZY66,0.0276,258027,125.145,0.859,0.000359,0.446,5,0.00124,0.0871,-5.263,0.601,4,1,1UBQ5GK8JaQjm5VbkBZY66,1000,Sharp Dressed Man - 2008 Remaster,72,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,68,3773040
6gNqTbfiinrGDjgrp3vdCR,0.0472,241000,66.596,0.148,0.769,0.383,4,0.0145,0.0746,-14.95,0.485,4,1,6gNqTbfiinrGDjgrp3vdCR,1000,My Home Is In The Delta,0,4y6J8jwRAwO4dssiSmN91R,Muddy Waters,55,1185061
76ZExGgO2njBAqvPAeh1x4,0.0379,219240,164.447,0.347,0.219,0.326,5,0.0417,0.134,-11.509,0.346,3,0,76ZExGgO2njBAqvPAeh1x4,1000,Maybe,44,4NgfOZCL9Ml67xzM0xzIvC,Janis Joplin,61,2952929
6dO0QgwDTVXEIXN2nzOaSf,0.04,161533,125.467,0.222,0.863,0.55,7,0.00638,0.0388,-10.388,0.647,4,1,6dO0QgwDTVXEIXN2nzOaSf,1000,Goodnight Irene,0,3Ovf2lytXSXWFM2cwsJACC,Lead Belly,39,170659
3ZtItXu2ypXh5ltAfnpVIV,0.0298,163630,78.579,0.404,0.772,0.642,7,0.000873,0.152,-8.306,0.689,4,1,3ZtItXu2ypXh5ltAfnpVIV,1000,Key To The Highway,0,22JuR9OeENcP54XN5TlNWS,Little Walter,46,189723
6qrnUwHfWubFB8tdvrAsby,0.0763,174667,102.561,0.537,0.829,0.793,2,0.0,0.361,-5.768,0.644,4,1,6qrnUwHfWubFB8tdvrAsby,1000,Bad Luck,5,5xLSa7l4IV1gsQfhAMvl0U,B.B. King,61,2484777
4Zd7jRS11nqMcb8DRbgc8y,0.0317,143499,104.535,0.471,0.835,0.606,9,0.0241,0.167,-9.203,0.586,1,1,4Zd7jRS11nqMcb8DRbgc8y,1000,Come On In This House,0,78CBFzwo7wwNaaTYVP5btK,Junior Wells,40,112096
5lc7PQQVAXXEgTOqGkc0US,0.0384,214480,124.324,0.549,0.692,0.586,0,0.0,0.12,-4.754,0.696,3,1,5lc7PQQVAXXEgTOqGkc0US,1000,John Henry,24,5WM5zPOswRcPu07rxP2dQv,Hugh Laurie,41,220143
4hnLubxViF8ScCBBWHUGGP,0.0533,336360,118.465,0.779,0.00994,0.678,8,0.0228,0.0832,-8.648,0.404,4,1,4hnLubxViF8ScCBBWHUGGP,1000,Wall of Denial,28,5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,61,2204876
48yOW2e3ONxgllr7emYL97,0.0494,273427,118.14,0.791,0.155,0.41,9,1.46e-06,0.239,-4.895,0.692,4,1,48yOW2e3ONxgllr7emYL97,1000,Pay the Band,0,7vjDp4O4hkJGI6VRV5zUWS,Buddy Whittington,19,4123
7aLoa1F3EoM8AeC6Ao1RKz,0.0623,179626,154.704,0.584,0.788,0.845,8,3.13e-06,0.193,-6.296,0.612,4,1,7aLoa1F3EoM8AeC6Ao1RKz,1000,"Shake, Rattle and Roll",44,1DTgcOxytJHD8p17mhSgd7,Big Joe Turner,37,41559
1TyCTyCab7MMTadRWoXYbT,0.0804,223493,145.347,0.73,0.482,0.665,10,0.000231,0.513,-8.205,0.484,4,1,1TyCTyCab7MMTadRWoXYbT,1000,Trouble No More - Live At The Fillmore East/1971,0,4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,62,1388886
6tYjhTEW9Q0QU16z3VKRkV,0.0986,279293,105.912,0.67,0.589,0.582,0,0.11,0.158,-11.142,0.674,4,1,6tYjhTEW9Q0QU16z3VKRkV,1000,That's All,0,6OVkHZQP8QoBYqr1ejCGDv,Seasick Steve,42,197703
0z230B1PENmFUvGcUucWCx,0.0265,192600,80.793,0.44,0.411,0.428,5,0.0,0.117,-6.92,0.367,4,1,0z230B1PENmFUvGcUucWCx,1000,Sweet Country Love Song,20,3BnHGEmoTbSb7CNl3oL64E,Jools Holland & Gregory Porter,6,440
0NacjyAV70LNwqBA8HjLbI,0.244,237680,164.923,0.84,0.028,0.613,4,0.917,0.266,-8.171,0.452,4,1,0NacjyAV70LNwqBA8HjLbI,1000,Taylor's Rock,0,7aHLYoLUMdcl0HiT5k0Brz,Sonny Landreth,35,49909
