track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
Change the World,Eric Clapton,True,,,,,,,,,,,,,
When Love Comes To Town,U2,True,,,,,,,,,,,,,
Hit the Road Jack,Ray Charles,True,,,,,,,,,,,,,
Feeling Good,Nina Simone,True,,,,,,,,,,,,,
Sweets for My Sweet,The Searchers,True,,,,,,,,,,,,,
In The Morning,Razorlight,True,,,,,,,,,,,,,
Laid,James,True,,,,,,,,,,,,,
Why'd You Only Call Me When You're High?,Arctic Monkeys,True,,,,,,,,,,,,,
Golden Brown,The Stranglers,True,,,,,,,,,,,,,
Figure 8,Ellie Goulding,True,,,,,,,,,,,,,
All Or Nothing,Small Faces,True,,,,,,,,,,,,,
Downtown,Petula Clark,True,,,,,,,,,,,,,
Fake Plastic Trees,Radiohead,True,,,,,,,,,,,,,
Wonderwall,Oasis,True,,,,,,,,,,,,,
One Shot,JLS,True,,,,,,,,,,,,,
Step On,Happy Mondays,True,,,,,,,,,,,,,
Resistance,Muse,True,,,,,,,,,,,,,
The Angry Mob,Kaiser Chiefs,True,,,,,,,,,,,,,
Bankrobber,The Clash,True,,,,,,,,,,,,,
The Riverboat Song,Ocean Colour Scene,True,,,,,,,,,,,,,
London Calling,The Clash,True,,,,,,,,,,,,,
Life On Mars? - 1999 Remastered Version,David Bowie,True,,,,,,,,,,,,,
Personal Jesus,Depeche Mode,True,,,,,,,,,,,,,
Blue Monday,New Order,True,,,,,,,,,,,,,
Obviously,McFly,True,,,,,,,,,,,,,
We'll Be Coming Back (feat. Example),Calvin Harris,True,,,,,,,,,,,,,
Trap Queen,Fetty Wap,True,,,,,,,,,,,,,
Cool for the Summer,Demi Lovato,True,,,,,,,,,,,,,
Boys,Sabrina,True,,,,,,,,,,,,,
This Is It,Melba Moore,True,,,,,,,,,,,,,
You Make Me Feel (Mighty Real),Sylvester,True,,,,,,,,,,,,,
I Want You Back,Michael Jackson,True,,,,,,,,,,,,,
Rock Me Amadeus,Falco,True,,,,,,,,,,,,,
Wishing on a Star,Rose Royce,True,,,,,,,,,,,,,
Blow,Kesha,True,,,,,,,,,,,,,
Native New Yorker,Odyssey,True,,,,,,,,,,,,,
Karma Chameleon,Culture Club,True,,,,,,,,,,,,,
And the Beat Goes On,The Whispers,True,,,,,,,,,,,,,
Back Stabbers,The O'Jays,True,,,,,,,,,,,,,
Let You Go,Chase & Status,True,,,,,,,,,,,,,
Love The Way You Lie,Eminem,True,,,,,,,,,,,,,
She Drove Me to Daytime Television,Funeral For A Friend,True,,,,,,,,,,,,,
I Won't Give Up,Jason Mraz,True,,,,,,,,,,,,,
BURN IT DOWN,Linkin Park,True,,,,,,,,,,,,,
Letters To You,Finch,True,,,,,,,,,,,,,
It's Time,Imagine Dragons,True,,,,,,,,,,,,,
I Am Mine,Pearl Jam,True,,,,,,,,,,,,,
Debaser,Pixies,True,,,,,,,,,,,,,
Walking After You,Foo Fighters,True,,,,,,,,,,,,,
Bullet In The Head,Rage Against The Machine,True,,,,,,,,,,,,,
Malibu,Hole,True,,,,,,,,,,,,,
Homecoming,Kanye West,True,,,,,,,,,,,,,
Black Beatles,Rae Sremmurd,True,,,,,,,,,,,,,
Smack That,Akon,True,,,,,,,,,,,,,
Ghetto Gospel,2Pac,True,,,,,,,,,,,,,
The Ringer,Eminem,True,,,,,,,,,,,,,
Soul Survivor,Jeezy,True,,,,,,,,,,,,,
Panda,Desiigner,True,,,,,,,,,,,,,
Laffy Taffy,D4L,True,,,,,,,,,,,,,
BedRock,Young Money,True,,,,,,,,,,,,,
Baby's First Christmas,Connie Francis,True,,,,,,,,,,,,,
Ave Maria,Shirley Bassey,True,,,,,,,,,,,,,
Blue Christmas,Elvis Presley,True,,,,,,,,,,,,,
My Type,Saint Motel,True,,,,,,,,,,,,,
Bailamos,Enrique Iglesias,True,,,,,,,,,,,,,
Now and Later,Sage The Gemini,True,,,,,,,,,,,,,
Million Reasons,Lady Gaga,True,,,,,,,,,,,,,
IDOL,BTS,True,,,,,,,,,,,,,
Glorious (feat. Skylar Grey),Macklemore,True,,,,,,,,,,,,,
Teenage Dream,Katy Perry,True,,,,,,,,,,,,,
Billie Jean,Michael Jackson,True,,,,,,,,,,,,,
Attention,Charlie Puth,True,,,,,,,,,,,,,
Thunderclouds,Sia,True,,,,,,,,,,,,,
Maps,Maroon 5,True,,,,,,,,,,,,,
no tears left to cry,Ariana Grande,True,,,,,,,,,,,,,
No More Sad Songs (feat. Machine Gun Kelly),Little Mix,True,,,,,,,,,,,,,
There's Nothing Holdin' Me Back,Shawn Mendes,True,,,,,,,,,,,,,
Firework,Katy Perry,True,,,,,,,,,,,,,
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,True,,,,,,,,,,,,,
Poison,Alice Cooper,True,,,,,,,,,,,,,
What I've Done,Linkin Park,True,,,,,,,,,,,,,
It's My Life,Bon Jovi,True,,,,,,,,,,,,,
Walk Of Life,Dire Straits,True,,,,,,,,,,,,,
Crazy,Aerosmith,True,,,,,,,,,,,,,
In Too Deep,Sum 41,True,,,,,,,,,,,,,
Everlong,Foo Fighters,True,,,,,,,,,,,,,
Blurry,Puddle Of Mudd,True,,,,,,,,,,,,,
Maggie May,Rod Stewart,True,,,,,,,,,,,,,
Celebrity Skin,Hole,True,,,,,,,,,,,,,
Woman,Wolfmother,True,,,,,,,,,,,,,
I'm On Fire,Bruce Springsteen,True,,,,,,,,,,,,,
The Joker,Steve Miller Band,True,,,,,,,,,,,,,
Rip It Up,Little Richard,True,,,,,,,,,,,,,
Reet Petite,Jackie Wilson,True,,,,,,,,,,,,,
Uprising,Muse,True,,,,,,,,,,,,,
Jailhouse Rock,Elvis Presley,True,,,,,,,,,,,,,
Losing My Religion,R.E.M.,True,,,,,,,,,,,,,
You Give Love A Bad Name,Bon Jovi,True,,,,,,,,,,,,,
The Boys Of Summer,Don Henley,True,,,,,,,,,,,,,
Dreamer,Ozzy Osbourne,True,,,,,,,,,,,,,
One Step Closer,Linkin Park,True,,,,,,,,,,,,,
I Won't Back Down,Tom Petty,True,,,,,,,,,,,,,
Bitch,The Rolling Stones,True,,,,,,,,,,,,,
Return to Sender,Elvis Presley,True,,,,,,,,,,,,,
Memphis Tennessee,Chuck Berry,True,,,,,,,,,,,,,
Spoonman,Soundgarden,True,,,,,,,,,,,,,
One Night,Elvis Presley,True,,,,,,,,,,,,,
I'll Stand by You,Pretenders,True,,,,,,,,,,,,,
Say My Name,Destiny's Child,True,,,,,,,,,,,,,
U Got It Bad,Usher,True,,,,,,,,,,,,,
Fight for You,Jason Derulo,True,,,,,,,,,,,,,
21 Guns,Green Day,True,,,,,,,,,,,,,
Dilemma,Nelly,True,,,,,,,,,,,,,
Purple Rain,Prince,True,,,,,,,,,,,,,
Dark Side,Kelly Clarkson,True,,,,,,,,,,,,,
Wings,Birdy,True,,,,,,,,,,,,,
With You,Chris Brown,True,,,,,,,,,,,,,
Breakaway,Kelly Clarkson,True,,,,,,,,,,,,,
I Will Never Let You Down,Rita Ora,True,,,,,,,,,,,,,
Goodbye My Lover,James Blunt,True,,,,,,,,,,,,,
Another Suitcase in Another Hall,Madonna,True,,,,,,,,,,,,,
Why Can't We Live Together,Timmy Thomas,True,,,,,,,,,,,,,
Summer Breeze,The Isley Brothers,True,,,,,,,,,,,,,
Sweet Baby,Macy Gray,True,,,,,,,,,,,,,
If You Really Love Me,Stevie Wonder,True,,,,,,,,,,,,,
All Night Long (All Night),Lionel Richie,True,,,,,,,,,,,,,
Trouble Sleeping,Corinne Bailey Rae,True,,,,,,,,,,,,,
Reach Out I'll Be There,Four Tops,True,,,,,,,,,,,,,
I'm Still Waiting,Diana Ross,True,,,,,,,,,,,,,
Georgia On My Mind,Ray Charles,True,,,,,,,,,,,,,
Stuck On You,Lionel Richie,True,,,,,,,,,,,,,
I'm Still In Love With You,Al Green,True,,,,,,,,,,,,,
The Payback,James Brown,True,,,,,,,,,,,,,
Love Train,The O'Jays,True,,,,,,,,,,,,,
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,True,,,,,,,,,,,,,
I Love Music,The O'Jays,True,,,,,,,,,,,,,
Love Runs Out,OneRepublic,True,,,,,,,,,,,,,
Only Girl (In The World),Rihanna,True,,,,,,,,,,,,,
Mirrors,Justin Timberlake,True,,,,,,,,,,,,,
Not Giving In (feat. John Newman & Alex Clare),Rudimental,True,,,,,,,,,,,,,
Love More,Chris Brown,True,,,,,,,,,,,,,
Jamming,Bob Marley & The Wailers,True,,,,,,,,,,,,,
POWER,Kanye West,True,,,,,,,,,,,,,
I'm an Albatraoz,AronChupa,True,,,,,,,,,,,,,
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,True,,,,,,,,,,,,,
Wizard,Martin Garrix,True,,,,,,,,,,,,,
Walhalla,Gouryella,True,,,,,,,,,,,,,
Dani California,Red Hot Chili Peppers,True,,,,,,,,,,,,,
Falling,HAIM,True,,,,,,,,,,,,,
The Zephyr Song,Red Hot Chili Peppers,True,,,,,,,,,,,,,
Hear Me,Imagine Dragons,True,,,,,,,,,,,,,
Karma Police,Radiohead,True,,,,,,,,,,,,,
That's Entertainment,The Jam,True,,,,,,,,,,,,,
Rolling In The Deep,Adele,True,,,,,,,,,,,,,
Oh My Goodness,Olly Murs,True,,,,,,,,,,,,,
Some Might Say,Oasis,True,,,,,,,,,,,,,
Things We Lost In The Fire,Bastille,True,,,,,,,,,,,,,
Happy Hour,The Housemartins,True,,,,,,,,,,,,,
Disco 2000,Pulp,True,,,,,,,,,,,,,
You & I,One Direction,True,,,,,,,,,,,,,
My Number,Foals,True,,,,,,,,,,,,,
Ulysses,Franz Ferdinand,True,,,,,,,,,,,,,
Bleeding Love,Leona Lewis,True,,,,,,,,,,,,,
Fight Song,Rachel Platten,True,,,,,,,,,,,,,
Never Be the Same (feat. Kane Brown),Camila Cabello,True,,,,,,,,,,,,,
Wanna Do (feat. Emil),Joe Weller,True,,,,,,,,,,,,,
Desire,Years & Years,True,,,,,,,,,,,,,
Don't Stop The Music,Rihanna,True,,,,,,,,,,,,,
We R Who We R,Kesha,True,,,,,,,,,,,,,
The Sign,Ace of Base,True,,,,,,,,,,,,,
Little Bad Girl (feat. Taio Cruz & Ludacris),David Guetta,True,,,,,,,,,,,,,
International Love (feat. Chris Brown),Pitbull,True,,,,,,,,,,,,,
Enola Gay,Orchestral Manoeuvres In The Dark,True,,,,,,,,,,,,,
Brother Louie,Modern Talking,True,,,,,,,,,,,,,
Breathing,Jason Derulo,True,,,,,,,,,,,,,
Hot Right Now (feat. RITA ORA),DJ Fresh,True,,,,,,,,,,,,,
Waiting All Night (feat. Ella Eyre),Rudimental,True,,,,,,,,,,,,,
Fat Lip,Sum 41,True,,,,,,,,,,,,,
Rooftops (A Liberation Broadcast),lostprophets,True,,,,,,,,,,,,,
Basket Case,Green Day,True,,,,,,,,,,,,,
Ignorance,Paramore,True,,,,,,,,,,,,,
I Don't Love You,My Chemical Romance,True,,,,,,,,,,,,,
Scream Aim Fire,Bullet For My Valentine,True,,,,,,,,,,,,,
First Day Of My Life,Bright Eyes,True,,,,,,,,,,,,,
Take a Picture,Filter,True,,,,,,,,,,,,,
Come As You Are,Nirvana,True,,,,,,,,,,,,,
Summertime Magic,Childish Gambino,True,,,,,,,,,,,,,
Hard Knock Life (Ghetto Anthem),JAY-Z,True,,,,,,,,,,,,,
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,True,,,,,,,,,,,,,
Love The Way You Lie,Eminem,True,,,,,,,,,,,,,
Purple Pills,D12,True,,,,,,,,,,,,,
My Band,D12,True,,,,,,,,,,,,,
Drop It Like It's Hot,Snoop Dogg,True,,,,,,,,,,,,,
Christmas Alphabet,Dickie Valentine,True,,,,,,,,,,,,,
