track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
7 Years,Lukas Graham,True,,,,,,,,,,,,,
Sorry,Justin Bieber,True,,,,,,,,,,,,,
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,True,,,,,,,,,,,,,
A Te,Andrea Bocelli,True,,,,,,,,,,,,,
Starving,Hailee Steinfeld,True,,,,,,,,,,,,,
Faded,Alan Walker,True,,,,,,,,,,,,,
Mercy,Shawn Mendes,True,,,,,,,,,,,,,
1999,Charli XCX,True,,,,,,,,,,,,,
Ciao Adios,Anne-Marie,True,,,,,,,,,,,,,
Mask Off,Future,True,,,,,,,,,,,,,
Never Forget You,Zara Larsson,True,,,,,,,,,,,,,
Shallow,Lady Gaga,True,,,,,,,,,,,,,
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,True,,,,,,,,,,,,,
Freaky Friday (feat. Chris Brown),Lil Dicky,True,,,,,,,,,,,,,
Havana (feat. Young Thug),Camila Cabello,True,,,,,,,,,,,,,
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,True,,,,,,,,,,,,,
Royals,Lorde,True,,,,,,,,,,,,,
Play Hard (feat. Ne-Yo & Akon),David Guetta,True,,,,,,,,,,,,,
MIA (feat. Drake),Bad Bunny,True,,,,,,,,,,,,,
Want to Want Me,Jason Derulo,True,,,,,,,,,,,,,
Secret Love Song (feat. Jason Derulo),Little Mix,True,,,,,,,,,,,,,
I Fall Apart,Post Malone,True,,,,,,,,,,,,,
Time of Our Lives,Pitbull,True,,,,,,,,,,,,,
Someone New,Hozier,True,,,,,,,,,,,,,
Rise,Katy Perry,True,,,,,,,,,,,,,
Perfect Strangers,Jonas Blue,True,,,,,,,,,,,,,
Counting Stars,OneRepublic,True,,,,,,,,,,,,,
Talking Body,Tove Lo,True,,,,,,,,,,,,,
Crying in the Club,Camila Cabello,True,,,,,,,,,,,,,
Ruin My Life,Zara Larsson,True,,,,,,,,,,,,,
Summertime Sadness,Lana Del Rey,True,,,,,,,,,,,,,
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,True,,,,,,,,,,,,,
7 Years,Lukas Graham,True,,,,,,,,,,,,,
I Still Haven't Found What I'm Looking For,U2,True,,,,,,,,,,,,,
Little Sister,Queens of the Stone Age,True,,,,,,,,,,,,,
Plush,Stone Temple Pilots,True,,,,,,,,,,,,,
Lust For Life,Iggy Pop,True,,,,,,,,,,,,,
Paradise City,Guns N' Roses,True,,,,,,,,,,,,,
